ids,gender,currenrl,compgrad,currlive,parbrkup,FAITH1,prayansr,miracle,comitgod,attreg,churtype,ATTEND1,ATHEIST1,WORKHRS1,socnet,SOCNET4,god,drink,drunk,smoke,pot,fight,trauma,future,GUILT1,meanless,body,lifesat,helpless,sad,accepted,alienate,invisibl,health,earnings,debt,agecats,bmi,employst
214,Male,"Yes, enrolled in school",Two years of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Very,Yes,No,No,Yes,Catholic,A few times a year,,0,Yes,Several times a day,Yes,A few times a week,Three or four times,Never,Never,Once or twice,No,Very often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,A little,None,Excellent,"$8,001 - $10,000",No debt,20,25.63020897,In school only
220,Male,"No, not in school",11th grade,Your parent's home,1,Not important at all,No,No,No,No,,,Atheist,40,Yes,About once a day,No,About once a month,Never,Never,Never,Never,Yes,Very often,Never,Never,Very happy,Agree,Disagree,Never,A lot,None,None,Very good,"$8,001 - $10,000","$801 - $1,000",18,21.92470551,Employed
455,Female,"Yes, enrolled in school",Three years of college,Your own place,1,Very,Yes,Yes,Yes,Yes,Unitarian/Universalist,2-3 times a month,,0,Yes,One to two days a week,Yes,A few times a year,Never,Never,Never,Never,No,Very often,Fairly often,Sometimes,Somewhat happy,Strongly agree,Disagree,Sometimes,A lot,Some,A little,Very good,"$4,001 - $6,000",No debt,20,21.2547245,In school only
560,Female,"Yes, enrolled in school",Four years of college/grad school,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Mormon,Once a week,,16,Yes,About once a day,Yes,Never,,Never,Never,Never,No,Very often,Sometimes,Never,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Very good,"$6,001 - $8,000",No debt,21,23.5650959,Employed and school
794,Female,"Yes, enrolled in school",One year of college,Your own place,0,Not very,No,No,No,No,,,,0,Yes,Several times a day,Unsure/Don't know,A few times a week,Five or more times,Never,A few times a year,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Very good,"$2,001 - $4,000",No debt,19,20.98025703,In school only
1044,.,"Yes, enrolled in school",Three years of college,Your parent's home,0,Somewhat,Yes,Yes,No,No,,,Something else,0,Yes,Every few weeks,Yes,A few times a week,Once or twice,Never,Never,Never,Yes,Very often,Fairly often,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$6,001 - $8,000","$2,801 - $3,000",23,41.19140625,In school only
1541,Male,.,12th grade,Your parent's home,1,Very,Yes,No,Yes,Yes,Pagan,Once a month,,38,Yes,One to two days a week,Yes,About once a month,Once or twice,Once a day or more,A few times a month,Never,Yes,Fairly often,Fairly often,Sometimes,Somewhat unhappy,Agree,Agree,Sometimes,Some,Some,None,Fair,"$10,001 - 12,000",No debt,21,32.72525024,Employed
1544,Male,"No, not in school",.,"Group quarters, like a dorm, sorority, or fraternity house",3,Extremely important,Yes,Yes,Yes,Yes,Protestant,Once a week,,8,Yes,Less than every few weeks,Yes,A few times a year,Never,Never,Never,More than five times,Yes,Very often,Sometimes,Rarely,Very happy,Agree,Strongly disagree,Rarely,A lot,None,None,Very good,"$34,001 - $36,000",No debt,18,25.76581764,Active armed forces
1571,Male,"No, not in school",12th grade,.,1,Not very,No,No,No,No,,,Something else,60,Yes,One to two days a week,Yes,About once a month,Never,Once a day or more,Never,Never,No,Very often,Rarely,Never,Somewhat happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Good,"$6,001 - $8,000",$200 or less,18,29.22524643,Employed
1584,Male,"Yes, enrolled in school",Three years of college,Your own place,.,Somewhat,Yes,No,No,No,,,Something else,10,Yes,Three to five days a week,Yes,A few times a week,Three or four times,A few times a week,About once a week,Never,No,Fairly often,Fairly often,Rarely,Somewhat happy,Agree,Disagree,Sometimes,Some,A little,A little,Good,"$4,001 - $6,000",No debt,21,25.82448959,Employed and school
1616,Female,"Yes, enrolled in school",Three years of college,Your own place,0,.,No,No,No,Yes,Catholic,Many times a year,,0,Yes,Several times a day,Yes,About once a month,Never,Never,Never,Never,Yes,Fairly often,Never,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$2,001 - $4,000",No debt,21,22.95510292,In school only
1629,Female,"Yes, enrolled in school",Two years of vocational/technical school,Your own place,0,Somewhat,.,No,Yes,Yes,Lutheran,A few times a year,,36,No,,Yes,A few times a week,Three or four times,Never,Never,Never,No,Fairly often,Rarely,Never,Somewhat happy,Agree,Disagree,Sometimes,Some,Some,A little,Good,"$18,001 - $20,000",$200 or less,21,26.56840515,Active armed forces
1633,Female,"No, not in school",Four years of college/grad school,Your own place,0,Not very,No,.,No,Yes,Catholic,A few times a year,Not religious,50,Yes,One to two days a week,Yes,About once a week,Three or four times,Never,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Agree,Agree,Rarely,A lot,A little,None,Excellent,"$40,001 - $42,000","$2,801 - $3,000",22,26.62248611,Employed
1634,Female,"Yes, enrolled in school",Three years of college,Your own place,0,Not very,No,No,.,Yes,Catholic,2-3 times a month,,15,Yes,Three to five days a week,Unsure/Don't know,About once a week,Once or twice,About once a week,Never,Never,No,Very often,Fairly often,Sometimes,Very unhappy,Agree,Disagree,Usually,A little,A little,Some,Good,"$2,001 - $4,000",$200 or less,21,29.04958725,Employed and school
1645,Female,"No, not in school",Four years of college/grad school,Your own place,0,Not important at all,No,No,No,.,,,Agnostic,40,Yes,Less than every few weeks,No,A few times a week,Never,Never,Never,Never,Yes,Sometimes,Rarely,Rarely,Somewhat happy,Strongly agree,Disagree,Rarely,Some,A little,None,Very good,"$28,001 - $30,000",No debt,23,23.04918098,Employed
1662,Female,"Yes, enrolled in school",Three years of college,Your own place,1,Not very,No,No,No,Yes,Hindu,A few times a year,,0,Yes,One to two days a week,Yes,A few times a month,Never,A few times a week,A few times a year,Never,Yes,Very often,Fairly often,Sometimes,Somewhat unhappy,Disagree,Agree,Sometimes,Some,Some,A little,Poor,No income,No debt,20,20.98025703,In school only
1675,Female,"No, not in school",Three years of college,Another person's home,6,Somewhat,Yes,Yes,Yes,Yes,Latter-day Saint(s),Many times a year,,40,Yes,One to two days a week,Yes,Never,,Never,Never,Once or twice,No,Very often,Fairly often,Rarely,Neither,Agree,Agree,Sometimes,A lot,Some,None,Good,"$14,001 - $16,000","$2,801 - $3,000",23,23.62528801,Employed
1676,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,Yes,Yes,No,Yes,Lutheran,2-3 times a month,,0,Yes,About once a day,Unsure/Don't know,A few times a year,Never,A few times a week,,Never,Yes,Very often,Sometimes,Never,Neither,Strongly agree,Strongly disagree,Sometimes,A lot,None,None,Good,"$8,001 - $10,000",No debt,18,26.49672699,No school or work but looking
1716,Male,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,Yes,Yes,Yes,Yes,Lutheran,Once a month,,0,Yes,About once a day,Yes,About once a week,Once or twice,Never,A few times a year,Never,No,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$2,001 - $4,000",No debt,19,19.6633873,In school only
1727,Female,"No, not in school",12th grade,Your parent's home,5,Very,Yes,Yes,No,No,.,,,37,Yes,Three to five days a week,Yes,A few times a year,Never,A few times a year,Never,Never,No,Very often,Fairly often,Never,Somewhat happy,Agree,Disagree,Rarely,A little,A little,None,Fair,"$12,001 - $14,000",No debt,20,32.91883469,Employed
1730,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",2,Somewhat,No,No,No,No,,.,Not religious,0,Yes,About once a day,No,Never,,Never,Never,Never,No,Fairly often,Rarely,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Very good,No income,No debt,18,26.38393784,In school only
1770,Male,"Yes, enrolled in school",12th grade,Your parent's home,0,Not very,No,No,No,Yes,Jewish,A few times a year,,25,Yes,About once a day,Yes,A few times a year,Never,A few times a year,Never,Never,No,Fairly often,Rarely,Never,Neither,Strongly agree,Strongly disagree,Never,A lot,None,None,Very good,"$2,000 or Less",$200 or less,18,23.70759773,Employed and school
1773,Female,"No, not in school",Three years of college,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Non-denominational Protestant,Once a week,.,55,Yes,Every few weeks,Yes,A few times a month,Never,Never,Never,Never,No,Very often,Rarely,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,None,None,Very good,"$2,000 or Less",$401 - $600,21,25.01492119,Employed
1820,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",5,Extremely important,Yes,Yes,No,No,,,,.,Yes,Less than every few weeks,Yes,A few times a year,Once or twice,A few times a month,A few times a week,Never,Yes,Sometimes,Sometimes,Never,Somewhat happy,Strongly agree,Disagree,Always,A lot,Some,Some,Very good,No income,No debt,20,41.69747925,In school only
1823,Female,"Yes, enrolled in school",One year of college,Your own place,0,Extremely important,Yes,Yes,No,Yes,Baptist,More than once a week,,26,.,About once a day,Yes,About once a month,Never,Never,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,None,None,Very good,"$14,001 - $16,000","$8,001 - $8,200",19,22.86025238,Employed and school
1828,Male,"Yes, enrolled in school",One year of college,Your parent's home,0,Very,Yes,No,Yes,Yes,Baptist,Once a week,,50,No,.,Yes,About once a month,Never,Never,About once a week,Never,No,Rarely,Very often,Rarely,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$20,001 - $22,000",$601 - $800,20,39.52854538,Employed and school
1831,Male,"Yes, enrolled in school",Four years of college/grad school,Your own place,0,Extremely important,Yes,No,Yes,Yes,Presbyterian,Once a week,,15,No,,.,A few times a week,Never,Never,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$14,001 - $16,000",$601 - $800,23,23.70759773,Employed and school
1835,Male,"Yes, enrolled in school",Three years of college,Your own place,0,Not very,No,No,No,No,,,,40,Yes,Every few weeks,Yes,.,Three or four times,Never,About once a month,Never,Yes,Very often,Rarely,Rarely,Somewhat unhappy,Agree,Strongly disagree,Rarely,A lot,None,None,Very good,"$26,001 - $28,000",No debt,21,28.12608147,Employed and school
1837,Female,"Yes, enrolled in school",Three years of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,No,No,Yes,Roman Catholic,A few times a year,,20,Yes,Several times a day,Yes,A few times a month,.,Never,Never,Never,Yes,Fairly often,Rarely,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$2,001 - $4,000",No debt,21,20.29994774,Employed and school
1889,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,Yes,No,No,Yes,,A few times a year,,0,No,,Yes,Never,,.,Never,Never,No,Never,Rarely,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,None,None,Excellent,"$2,000 or Less",No debt,19,30.68041992,No school or work but looking
1903,Female,"Yes, enrolled in school",Two years of college,Your own place,1,Somewhat,No,No,No,Yes,Methodist,A few times a year,,9,Yes,Several times a day,Yes,About once a week,Once or twice,Never,.,Never,No,Fairly often,Rarely,Rarely,Somewhat happy,Agree,Agree,Sometimes,Some,A little,A little,Very good,"$6,001 - $8,000",No debt,20,24.56060219,Employed and school
1952,Male,"Yes, enrolled in school",12th grade,Your parent's home,0,Somewhat,No,Yes,No,No,,,,26,Yes,About once a day,Yes,Never,,Never,Never,.,No,Fairly often,Rarely,Rarely,Somewhat unhappy,Agree,Disagree,Never,A lot,None,None,Very good,"$6,001 - $8,000",$200 or less,19,21.69753075,Employed and school
