age,gender,height_m,weight_kg,bmi,BMIPCT,seatbelt,seatbelt2,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
15,female,1.73,84.37,28.2,94.63,never,never,yes,6 or more times,all 30 days,yes,yes,no,yes,30,30
15,female,1.6,55.79,21.8,68.25,sometimes,otherwise,no,0 times,0 days,no,no,yes,no,0,1
15,female,1.5,46.72,20.8,57.36,always,otherwise,no,not drive,not drive,no,yes,yes,yes,0,0
15,female,1.57,67.13,27.2,93.19,always,otherwise,yes,not drive,not drive,no,no,yes,yes,0,0
15,female,1.68,69.85,24.7,86.67,always,otherwise,yes,0 times,0 days,no,no,no,no,0,0
15,female,1.65,66.68,24.5,85.65,rarely,otherwise,yes,not drive,not drive,no,no,no,no,0,1
16,male,1.85,74.39,21.7,61.43,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
15,male,1.78,70.31,22.2,73.88,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
14,male,1.73,73.48,24.6,91.04,most of the time,otherwise,no,not drive,not drive,no,no,yes,no,0,0
15,male,1.83,67.59,20.2,50.05,always,otherwise,yes,0 times,0 days,no,no,no,no,0,0
14,male,1.68,46.27,16.4,6.1,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.83,73.48,21.9,63.87,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.55,52.16,21.7,62.32,always,otherwise,yes,0 times,0 days,no,no,no,no,0,0
15,female,1.52,79.83,34.6,98.48,sometimes,otherwise,yes,0 times,0 days,no,no,no,no,0,1
15,female,1.5,56.25,25,87.58,rarely,otherwise,no,not drive,not drive,no,no,yes,no,0,1
16,female,1.6,61.24,23.9,80.07,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.42,40.82,20.2,44.29,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,male,1.73,131.54,44,99.81,most of the time,otherwise,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.65,70.76,26,90.79,sometimes,otherwise,no,0 times,3 to 5 days,no,no,yes,no,0,0
16,male,1.75,72.58,23.7,79.92,rarely,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,male,1.85,66.23,19.4,37.26,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.78,126.1,39.8,99.67,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
15,male,1.73,68.04,22.7,78.32,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,77.11,26.7,89.23,most of the time,otherwise,no,not drive,not drive,no,no,no,yes,0,0
17,female,1.68,61.69,21.9,59.26,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,96.16,30.3,97.1,sometimes,otherwise,no,0 times,1 or 2 days,yes,no,no,yes,0,6
17,male,1.68,59.88,21.2,45.29,sometimes,otherwise,no,0 times,0 days,no,no,no,yes,0,2
17,male,1.8,66.68,20.6,35.88,sometimes,otherwise,yes,0 times,0 days,yes,no,no,yes,0,1
17,male,1.78,61.24,19.3,18.12,sometimes,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.83,72.58,21.7,51.74,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,0
17,male,1.7,63.5,22,55.75,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,male,1.8,67.13,20.7,47.76,rarely,otherwise,no,0 times,all 30 days,no,no,no,no,0,0
17,male,1.83,68.04,20.3,31.95,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
16,male,1.7,58.97,20.4,43.09,most of the time,otherwise,yes,1 time,1 or 2 days,no,no,no,no,0,5
16,male,1.73,74.39,24.9,86.49,most of the time,otherwise,no,0 times,20 to 29 days,yes,no,no,yes,30,1
17,male,1.9,79.38,22,55.97,always,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,1
17,male,1.73,61.24,20.5,34.11,sometimes,otherwise,no,not drive,not drive,yes,no,no,no,0,3
17,male,1.78,129.28,40.8,99.73,always,otherwise,no,1 time,1 or 2 days,no,no,no,no,0,2
17,female,1.65,62.6,23,70.33,sometimes,otherwise,no,not drive,not drive,no,no,no,no,0,0
16,female,1.6,73.48,28.7,94.34,rarely,otherwise,yes,not drive,not drive,no,no,no,yes,0,1
17,female,1.68,86.18,30.5,95.57,always,otherwise,no,0 times,1 or 2 days,no,no,no,yes,0,0
17,female,1.65,61.24,22.5,65.84,sometimes,otherwise,yes,0 times,0 days,no,yes,yes,yes,0,0
16,female,1.6,68.04,26.6,90.43,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,female,1.52,72.58,31.4,96.28,sometimes,otherwise,yes,0 times,0 days,no,no,no,yes,0,0
17,male,1.83,69.85,20.9,40.02,always,otherwise,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.8,83.92,25.9,87.9,most of the time,otherwise,no,0 times,3 to 5 days,no,no,no,yes,0,0
17,male,1.68,94.35,33.4,98.75,sometimes,otherwise,no,0 times,3 to 5 days,no,no,no,no,0,0
17,female,1.63,54.89,20.7,44.35,always,otherwise,no,not drive,not drive,no,no,yes,yes,0,0
17,female,1.65,60.33,22.2,62.51,most of the time,otherwise,no,4 or 5 times,10 to 19 days,no,no,no,yes,2,1
17,female,1.63,74.84,28.2,92.54,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,86.18,27.2,92.19,most of the time,otherwise,no,0 times,0 days,no,no,no,no,0,0
17,male,1.93,92.53,24.8,82.62,always,otherwise,no,0 times,10 to 19 days,yes,no,no,no,0,0
17,male,1.8,101.15,31.2,97.74,most of the time,otherwise,no,0 times,6 to 9 days,no,no,yes,yes,0,0
17,male,1.8,77.11,23.8,75.26,always,otherwise,yes,4 or 5 times,0 days,no,no,no,no,0,9
17,female,1.65,49.9,18.3,13.16,rarely,otherwise,no,not drive,not drive,no,no,no,no,0,1
17,female,1.78,56.7,17.9,8.89,most of the time,otherwise,yes,0 times,0 days,yes,yes,yes,yes,0,2
17,female,1.73,73.03,24.4,80.07,most of the time,otherwise,no,0 times,1 or 2 days,no,yes,no,no,0,9
17,female,1.55,72.58,30.2,95.26,most of the time,otherwise,no,not drive,not drive,no,no,no,no,0,2
16,female,1.5,55.79,24.8,84.46,sometimes,otherwise,no,not drive,not drive,no,yes,no,no,0,1
17,female,1.75,77.11,25.2,83.94,always,otherwise,no,0 times,20 to 29 days,no,no,no,yes,0,0
17,female,1.68,77.11,27.3,90.84,always,otherwise,no,1 time,6 to 9 days,no,no,no,no,0,2
16,female,1.73,63.5,21.2,56.79,most of the time,otherwise,yes,0 times,10 to 19 days,no,no,no,no,0,0
16,female,1.55,72.58,30.2,95.94,always,otherwise,no,0 times,0 days,no,no,no,no,0,0
16,female,1.68,54.43,19.3,30.7,always,otherwise,no,not drive,not drive,no,no,no,no,0,0
